Date,Stream,Transect,Visit,Section,Wetted,Depth,
2018-08-06,ELKLICK,4,1,0,1.6,5.0,
2018-08-06,ELKLICK,4,1,12.5,3.3,5.0,
2018-08-06,ELKLICK,4,1,25,2.8,7.0,
2018-08-06,ELKLICK,5,1,0,3.0,5.0,
2018-08-06,ELKLICK,5,1,12.5,3.5,4.0,
2018-08-06,ELKLICK,5,1,25,1.6,9.0,
2018-08-07,ELKLICK,4,2,0,NA,NA,
2018-08-07,ELKLICK,4,2,12.5,NA,NA,
2018-08-07,ELKLICK,4,2,25,NA,NA,
2018-08-08,ELKLICK,4,3,0,1.1,7.5,
2018-08-08,ELKLICK,4,3,12.5,3.0,6.5,
2018-08-08,ELKLICK,4,3,25,1.1,6.0,
2018-08-08,ELKLICK,5,2,0,1.5,2.0,
2018-08-08,ELKLICK,5,2,12.5,1.5,5.5,
2018-08-08,ELKLICK,5,2,25,1.3,5.0,
2018-08-10,BEARHILL,1D,1,0,5.7,22.0,
2018-08-10,BEARHILL,1D,1,12.5,3.7,17.0,
2018-08-10,BEARHILL,1D,1,25,2.4,19.5,
2018-08-10,BEARHILL,1U,1,0,4.0,20.0,
2018-08-10,BEARHILL,1U,1,12.5,NA,NA,
2018-08-10,BEARHILL,1U,1,25,3.6,33.5,
2018-08-10,BEARHILL,2D,1,0,3.8,32.0,
2018-08-10,BEARHILL,2D,1,12.5,NA,76.0,
2018-08-10,BEARHILL,2D,1,25,3.7,29.5,
2018-08-10,BEARHILL,2U,1,0,3.2,22.5,
2018-08-10,BEARHILL,2U,1,12.5,4.8,22.0,
2018-08-10,BEARHILL,2U,1,25,3.3,28.0,
2018-08-10,BEARHILL,3D,1,0,5.2,51.0,
2018-08-10,BEARHILL,3D,1,12.5,5.0,17.0,
2018-08-10,BEARHILL,3D,1,25,4.7,16.5,
2018-08-10,BEARHILL,4D,1,0,3.6,12.0,
2018-08-10,BEARHILL,4D,1,12.5,4.8,7.5,
2018-08-10,BEARHILL,4D,1,25,3.7,14.0,
2018-08-10,BEARHILL,5D,1,0,4.3,13.5,
2018-08-10,BEARHILL,5D,1,12.5,5.2,13.0,
2018-08-10,BEARHILL,5D,1,25,5.3,25.0,
,,,,,,,
,,,,,,,
